TERMO DE COLABORAÇÃO,COMPETÊNCIA,ITEM,RÚBRICA,CUSTO DIRETO,NF,EMPRESA,STATUS,PAGAMENTO
06/2021 - CSMI CRISTO,JANEIRO,1.2.21,ALIMENTAÇÃO PARA EVENTOS,"R$ 1.006,00",37033,CCPF,PAGA,23/01/2026
06/2021 - CSMI CRISTO,JANEIRO,1.2.22,PRIMEIROS SOCORROS,"R$ 227,35",105,AVANTI,PAGA,23/01/2026
06/2021 - CSMI CRISTO,JANEIRO,1.2.24,UTENSÍLIOS DE COZINHA,"R$ 3.012,80",547,R&R,PAGA,26/01/2026
06/2021 - CSMI CRISTO,FEVEREIRO,1.2.27,MATERIAL PARA FESTIVIDADES,"R$ 5.353,62",6112,FORTAL,FATURADA,
06/2021 - CSMI CRISTO,JANEIRO,1.2.28,MATERIAL DE COPA E COZINHA,"R$ 1.171,80",546,R&R,PAGA,23/01/2026
06/2021 - CSMI CRISTO,JANEIRO,1.2.29,MATERIAL DE PROTEÇÃO E SEGURANÇA,"R$ 829,00",104,AVANTI,PAGA,23/01/2026
06/2021 - CSMI CRISTO,FEVEREIRO,1.2.2003,MATERIAL DE EXPEDIENTE,"R$ 950,78",6187,FORTAL,FATURADA,
06/2021 - CSMI CRISTO,FEVEREIRO,1.2.2004,MATERIAL DE LIMPEZA,"R$ 3.601,58",571,R&R,FATURADA,
06/2021 - CSMI CRISTO,FEVEREIRO,1.2.2006,MATERIAL PARA REPAROS,"R$ 1.522,72",,ARRUDA,,
06/2021 - CSMI CRISTO,FEVEREIRO,1.2.21,ALIMENTAÇÃO PARA EVENTOS,"R$ 2.354,00",152,AVANTI,FATURADA,
06/2021 - CSMI CRISTO,FEVEREIRO,1.2.21,ALIMENTAÇÃO PARA EVENTOS,"R$ 1.006,00",37338,CCPF,FATURADA,
06/2021 - CSMI CRISTO,FEVEREIRO,1.2.22,PRIMEIROS SOCORROS,"R$ 664,00",151,AVANTI,FATURADA,
06/2021 - CSMI CRISTO,FEVEREIRO,1.2.24,UTENSÍLIOS DE COZINHA,"R$ 913,66",572,R&R,FATURADA,
06/2021 - CSMI CRISTO,FEVEREIRO,1.2.27,MATERIAL PARA FESTIVIDADES E HOMENAGENS,"R$ 4.055,22",,ARRUDA,,
06/2021 - CSMI CRISTO,FEVEREIRO,1.2.28,MATERIAL DE COPA E COZINHA,"R$ 1.444,32",573,R&R,FATURADA,
06/2021 - CSMI CRISTO,FEVEREIRO,1.2.29,MATERIAL DE PROTEÇÃO E SEGURANÇA,"R$ 829,00",149,AVANTI,FATURADA,
06/2021 - CSMI CRISTO,MARÇO,1.2.2001,ACESSÓRIOS PARA BANHEIROS,"R$ 1.082,20",,R&R,,
06/2021 - CSMI CRISTO,MARÇO,1.2.2002,EPI’S COZINHA,"R$ 474,30",,AVANTI,,
06/2021 - CSMI CRISTO,MARÇO,1.2.2003,MATERIAL DE EXPEDIENTE,"R$ 1.762,32",,FORTAL,,
06/2021 - CSMI CRISTO,MARÇO,1.2.2004,MATERIAL DE LIMPEZA,"R$ 5.678,79",,R&R,,
06/2021 - CSMI CRISTO,MARÇO,1.2.2005,MATERIAL DE T.I. E SUPRIMENTO DE INFORMÁTICA,"R$ 111,00",,FORTAL,,
06/2021 - CSMI CRISTO,MARÇO,1.2.2006,MATERIAL PARA REPAROS,,,ARRUDA,,
06/2021 - CSMI CRISTO,MARÇO,1.2.2007,MATERIAL PARA OFICINAS PEDAGÓGICAS,"R$ 2.756,78",,FORTAL,,
06/2021 - CSMI CRISTO,MARÇO,1.2.2008,OFICINA DE BALLET,"R$ 4.713,20",,ÍCONE,,
06/2021 - CSMI CRISTO,MARÇO,1.2.2009,OFICINA DE CAPOEIRA,"R$ 13.275,00",,ÍCONE,,
06/2021 - CSMI CRISTO,MARÇO,1.2.14,MATERIAL PARA OFICINA FUTEBOL DE CAMPO,"R$ 5.569,40",,ÍCONE,,
06/2021 - CSMI CRISTO,MARÇO,1.2.15,MATERIAL PARA HORTO,"R$ 540,00",,R&R,,
06/2021 - CSMI CRISTO,MARÇO,1.2.16,OFICINA KARATÊ,"R$ 2.985,00",,ÍCONE,,
06/2021 - CSMI CRISTO,MARÇO,1.2.17,SALA DE MÚSICA,"R$ 1.201,80",,ÍCONE,,
06/2021 - CSMI CRISTO,MARÇO,1.2.21,ALIMENTAÇÃO PARA EVENTOS,"R$ 14.299,65",,AVANTI,,
06/2021 - CSMI CRISTO,MARÇO,1.2.21,ALIMENTAÇÃO PARA EVENTOS,"R$ 1.006,00",,CCPF,,
