INSTRUMENTO,ITEM DE DESPESA,DESCRIÇÃO ITEM DE DESPESA
1238520,1.2.1,DIÁRIA DENTRO DO ESTADO
1238520,1.2.2,DIÁRIA FORA DO ESTADO.
1238520,1.3.1,LOCAÇÃO DE VEICULO
1238520,1.3.3,CONFECÇÃO DE UNIFORMES
1238520,1.3.4,SERVIÇOS TÉCNICOS E PROFISSIONAIS
1238520,1.4.1,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1238520,1.5.2,SERVIÇOS TÉCNICOS E PROFISSIONAIS
1238520,1.5.3,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1238520,1.5.4,"MATERIAL DE LIMPEZA, CONSERVAÇÃO E HIGIENE"
1238520,1.5.5,GÊNEROS ALIMENTÍCIOS
1238520,1.5.6,LOCAÇÃO DE VEÍCULO
1238520,1.5.7,CONFECÇÃO DE UNIFORMES E VESTUÁRIO EM GERAL
1238520,2.1.1,SERVIÇO DE COMUNICAÇÃO EM GERAL
1238520,2.1.2,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1238520,2.1.3,SERVIÇO DE APOIO E INFRAESTRUTURA
1238520,3.1.1,SERVIÇO DE COMUNICAÇÃO EM GERAL
1238520,3.1.2,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1238520,3.1.3,SERVIÇO DE APOIO E INFRAESTRUTURA
1238520,4.1.1,SERVIÇO DE COMUNICAÇÃO EM GERAL
1238520,4.1.2,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1238520,4.1.3,SERVIÇO DE APOIO E INFRAESTRUTURA
1238520,5.1.1,SERVIÇO DE COMUNICAÇÃO EM GERAL
1238520,5.1.2,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1238520,5.1.3,SERVIÇO DE APOIO E INFRAESTRUTURA
1238520,6.1.1,SERVIÇO DE COMUNICAÇÃO EM GERAL
1238520,6.1.2,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1238520,6.1.3,SERVIÇO DE APOIO E INFRAESTRUTURA
1238520,7.1.1,SERVIÇO DE COMUNICAÇÃO EM GERAL
1238520,7.1.2,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1238520,7.1.3,SERVIÇO DE APOIO E INFRAESTRUTURA
1247749,1.2.1,DIÁRIA DENTRO DO ESTADO
1247749,1.2.3,DIÁRIA AJUDA DE CUSTO FORA DO ESTADO
1247749,1.3.1,SERVIÇOS DE PEQUENOS REPAROS
1247749,1.3.10,SERVIÇO DE APOIO E INFRAESTRUTURA
1247749,1.3.11,"LOCAÇÃO DE MÁQUINAS, EQUIPAMENTOS E INFRAESTRUTURA PARA TI"
1247749,1.3.13,LOCAÇÃO DE ÔNIBUS
1247749,1.3.14,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1247749,1.3.15,SERVIÇO DE LOCAÇÃO BRINQUEDOS DE RECREAÇÃO
1247749,1.3.2,SERVIÇOS GRÁFICOS E REPROGRÁFICOS
1247749,1.3.3,LOCAÇÃO DE VEÍCULO
1247749,1.3.4,DEDETIZAÇÃO
1247749,1.3.5,ESGOTAMENTO DE FOSSA
1247749,1.3.6,LIMPEZA DE CAIXA D`ÁGUA
1247749,1.3.7,"PRÊMIOS, CONDECORAÇÕES, MEDALHAS E TROFÉUS"
1247749,1.3.8,RECOLHIMENTO DE COTA PATRONAL 20%
1247749,1.3.9,MONITORAMENTO ELETRÔNICO
1247749,1.4.1,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1247749,1.4.2,SERVIÇOS DE PEQUENOS REPAROS
1247749,1.5.1,BENEFÍCIO ASSISTENCIAL PARA MONITORAMENTO DAS ATIVIDADES
1247749,1.6.1,ALIMENTAÇÃO PARA EVENTOS
1247749,1.6.10,OFICINA DE DANÇA FUNCIONAL
1247749,1.6.11,OFICINA DE FLAUTA
1247749,1.6.12,OFICINA DE FUTEBOL DE CAMPO
1247749,1.6.13,OFICINA DE HORTO
1247749,1.6.14,OFICINA DE ARTES MARCIAIS KARATÊ E KUNG FU
1247749,1.6.15,OFICINA DE MÚSICA
1247749,1.6.16,OFICINA DE TECLADO
1247749,1.6.17,OFICINA DE VIOLÃO
1247749,1.6.18,OFICINA DE VÔLEI
1247749,1.6.19,MATERIAL PEDAGÓGICO
1247749,1.6.2,"EPI’S COZINHA, CURSO DE GASTRONOMIA E DEMAIS AMBIENTES"
1247749,1.6.20,PRIMEIROS SOCORROS
1247749,1.6.21,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1247749,1.6.22,UNIFORME EM GERAL
1247749,1.6.23,UTENSÍLIOS DE COZINHA
1247749,1.6.24,GÊNEROS ALIMENTÍCIOS
1247749,1.6.25,MATERIAL PARA FESTIVIDADES;
1247749,1.6.26,MATERIAL DE COPA E COZINHA
1247749,1.6.27,MATERIAL DE PROTEÇÃO E SEGURANÇA
1247749,1.6.28,GÁS ENGARRAFADO
1247749,1.6.29,OUTROS MATERIAIS DE CONSUMO PARA EVENTOS
1247749,1.6.3,MATERIAL DE EXPEDIENTE
1247749,1.6.4,MATERIAL DE LIMPEZA E HIGIENE
1247749,1.6.5,MATERIAIS PARA REPAROS E CONSERVAÇÃO
1247749,1.6.6,OFICINA DE BALLET
1247749,1.6.7,OFICINA DE CAPOEIRA
1247749,1.6.8,OFICINA DE CONTAÇÃO DE HISTÓRIA
1247749,1.6.9,OFICINA DE CANTO DE CORAL
1247749,1.7.1,EQUIPAMENTO E MATERIAL PERMANENTE
1247749,1.8.2,MATERIAL DE EXPEDIENTE
1247749,1.8.3,"MATERIAL PARA LIMPEZA, CONSERVAÇÃO E HIGIENE"
1247749,1.8.4,SERVIÇOS TÉCNICOS E PROFISSIONAIS
1247749,1.8.5,"CONTAS PÚBLICAS (ENERGIA, TELEFONE, CELULAR, ÁGUA)"
1247749,1.8.6,SERVIÇOS GRÁFICOS E REPROGRÁFICOS
1247749,1.8.7,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1356831,1.2.1,SERVIÇO DE MONITORAMENTO ELETRÔNICO
1356831,1.2.2,SERVIÇOS GRÁFICOS E REPROGRÁFICOS
1356831,1.2.3,SERVIÇO DE REPARO DE BENS MÓVEIS E IMÓVEIS
1356831,1.2.4,SERVIÇO DE APOIO E INFRAESTRUTURA
1356831,1.3.1,UNIFORME EM GERAL
1356831,1.3.10,MATERIAL PARA OFICINA DE KARATÊ E MUAY THAI
1356831,1.3.11,MATERIAL PARA OFICINA DE MÚSICA
1356831,1.3.12,MATERIAL PARA OFICINA DE VIOLÃO
1356831,1.3.13,GÊNEROS ALIMENTÍCIOS
1356831,1.3.14,MATERIAL DE PROTEÇÃO E SEGURANÇA
1356831,1.3.15,MATERIAL PARA MANUTENÇÃO DE BENS MÓVEIS E IMÓVEIS
1356831,1.3.16,MATERIAL EDUCATIVO E ESPORTIVO.
1356831,1.3.17,MATERIAL PARA FESTIVIDADES;
1356831,1.3.2,MATERIAL DE EXPEDIENTE
1356831,1.3.3,"MATERIAL PARA LIMPEZA, CONSERVAÇÃO E HIGIENE"
1356831,1.3.4,PRIMEIROS SOCORROS
1356831,1.3.5,UTENSÍLIOS DE COZINHA
1356831,1.3.6,MATERIAL PARA OFICINA DE BALLET
1356831,1.3.7,MATERIAL PARA OFICINA DE CAPOEIRA
1356831,1.3.8,MATERIAL PARA OFICINA DE DANÇA FUNCIONAL
1356831,1.3.9,MATERIAL PARA OFICINA DE FLAUTA
1356831,1.4.1,EQUIPAMENTOS E MOBILIÁRIOS
1356831,1.4.2,EQUIPAMENTOS DE MÚSICA / INSTRUMENTOS MUSICAIS
1356831,1.5.2,LOCAÇÃO DE VEÍCULO
1356831,1.5.3,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1363330,1.2.1,DIÁRIA DENTRO DO ESTADO
1363330,1.3.1,"CONTAS PUBLICAS (ENERGIA, ÁGUA,, TELEFONE E INTERNET)"
1363330,1.3.2,LOCAÇÃO DE VEICULO
1363330,1.3.4,SERVIÇO DE COMUNICAÇÃO EM GERAL
1363330,1.3.5,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1363330,1.3.6,SERVIÇOS DE PEQUENOS REPAROS
1363330,1.3.7,SERVIÇO DE APOIO E INFRAESTRUTURA
1363330,1.3.8,CONFECÇÃO DE UNIFORMES
1363330,1.3.9,SERVIÇOS TÉCNICOS E PROFISSIONAIS
1363330,1.4.1,LOCAÇÃO DE IMÓVEL.
1363330,1.5.1,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1363330,1.5.2,MATERIAL DIDÁTICO E PEDAGOGICO
1363330,1.5.3,"MATERIAL DE LIMPEZA, CONSERVAÇÃO E HIGIENE"
1363330,1.5.4,MATERIAL DE COPA E COZINHA
1363330,1.5.5,GÁS DE COZINHA
1363330,1.5.6,GENEROS ALIMENICIOS
1363330,1.5.7,MATERIAL DE PROTEÇÃO E SEGURANÇA.
1363330,1.6.2,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1363330,1.6.3,LOCAÇÃO DE VEÍCULO.
1363330,1.6.4,CONFECÇÃO DE UNIFORMES E VESTUÁRIO EM GERAL.
1363330,1.6.5,SERVIÇOS GRÁFICOS E REPROGRÁFICOS
1363330,1.6.6,SERVIÇOS DE PEQUENOS REPAROS
1363330,1.6.7,SERVIÇOS TÉCNICOS E PROFISSIONAIS
1363330,1.6.8,"MATERIAL DE LIMPEZA, CONSERVAÇÃO E HIGIENE"
1363330,2.2.1,DIÁRIA DENTRO DO ESTADO
1363330,2.3.1,LOCAÇÃO DE VEICULO
1363330,2.3.3,SERVIÇO DE COMUNICAÇÃO EM GERAL
1363330,2.3.4,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1363330,2.3.5,SERVIÇOS DE PEQUENOS REPAROS
1363330,2.3.6,SERVIÇO DE APOIO E INFRAESTRUTURA
1363330,2.3.7,CONFECÇÃO DE UNIFORMES
1363330,2.3.8,SERVIÇOS TÉCNICOS E PROFISSIONAIS
1363330,2.4.1,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1363330,2.4.2,MATERIAL DIDÁTICO E PEDAGOGICO
1363330,2.4.3,"MATERIAL DE LIMPEZA, CONSERVAÇÃO E HIGIENE"
1363330,2.4.4,MATERIAL DE COPA E COZINHA
1363330,2.4.5,GÁS DE COZINHA
1363330,2.4.6,GÊNEROS ALIMENTÍCIOS
1363330,2.4.7,MATERIAL DE PROTEÇÃO E SEGURANÇA.
1363330,2.5.2,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1363330,2.5.3,CONFECÇÃO DE UNIFORMES E VESTUÁRIO E EM GERAL .
1363330,2.5.4,SERVIÇOS GRÁFICOS E REPROGRÁFICOS
1363330,2.5.5,LOCAÇÃO DE VEICULO
1363330,2.5.6,"MATERIAL DE LIMPEZA, CONSERVAÇÃO E HIGIENE"
1363330,2.5.7,SERVIÇOS DE PEQUENOS REPAROS
1378187,1.2.1,DIÁRIAS DENTRO DO ESTADO
1378187,1.2.2,DIÁRIAS FORA DO ESTADO
1378187,1.3.1,SERVIÇOS TÉCNICOS E PROFISSIONAIS
1378187,1.3.2,SERVIÇOS GRÁFICOS E REPROGRÁFICOS
1378187,1.3.3,LOCAÇÃO DE ESPAÇO
1378187,1.3.4,FORNECIMENTO DE ALIMENTAÇÃO
1378187,1.3.5,DESPESAS PASSAGENS AÉREAS E TERRESTRES
1378187,1.3.6,SERVIÇO DE APOIO E INFRAESTRUTURA
1378187,1.4.1,MATERIAL DE PROCESSAMENTO DE DADOS
1378187,1.4.2,MATERIAL DE EXPEDIENTE
1378187,1.5.2,LOCAÇÃO DE VEÍCULO
1378187,1.5.3,MATERIAL DE EXPEDIENTE E PROCESSAMENTO DE DADOS
1378187,1.5.4,SERVIÇOS TÉCNICOS E PROFISSIONAIS
1404986,1.2.1,LOCAÇÃO DE VEÍCULO;
1404986,1.2.2,"PRÊMIOS, CONDECORAÇÕES, MEDALHAS E TROFÉUS;"
1404986,1.2.3,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1404986,1.2.4,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1404986,1.2.5,SERVIÇO DE CONFECÇÃO DE MATERIAL PERSONALIZADO PARA EVENTOS;
1404986,1.2.6,SERVIÇOS GRÁFICOS E REPROGRÁFICOS
1404986,1.2.7,SERVIÇOS DE PEQUENOS REPAROS
1404986,1.3.1,GÁS ENGARRAFADO PARA COZINHA;
1404986,1.3.10,UTENSÍLIOS DE COPA E COZINHA;
1404986,1.3.11,VESTUÁRIO E UNIFORMES EM GERAL;
1404986,1.3.2,GÊNEROS ALIMENTÍCIOS;
1404986,1.3.3,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
