INSTRUMENTO,Nº DO TERMO,TERMO DE COLABORAÇÃO,ITEM,DESCRIÇÃO
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.5.13,Material para festividades e homenagens
1238489,12/2022,CREAS CARIRI FORTALEZA,1.1.1,"Salários e encargos sob a folha(horas extras, encargos sociais, rescisões, atestado médico, 13º salário, ferias, adicionais noturno, vale-transporte e vale-refeição)"
1238489,12/2022,CREAS CARIRI FORTALEZA,1.2.1,Diária dentro do Estado
1238489,12/2022,CREAS CARIRI FORTALEZA,1.3.1,"Contas publicas (energia, água,, telefone e internet)"
1238489,12/2022,CREAS CARIRI FORTALEZA,1.3.2,Locação de veiculo
1238489,12/2022,CREAS CARIRI FORTALEZA,1.3.3,Passagens aéreas e terrestre
1238489,12/2022,CREAS CARIRI FORTALEZA,1.3.4,"Serviço de comunicação em geral, gráficos e reprograficos e documentos afins, festividades e homenagens, publicidade e propaganda(confecção de blusas, bolsas e material de proteção e segurança individuais com suas devidas logomarcas e afins)"
1238489,12/2022,CREAS CARIRI FORTALEZA,1.3.5,"Remuneração de serviços de natureza eventual(Instrutores, palestrantes, substituições e outros serviços)"
1238489,12/2022,CREAS CARIRI FORTALEZA,1.3.6,Serviços de pequenos reparos de bens moveis e imóveis
1238489,12/2022,CREAS CARIRI FORTALEZA,1.3.7,"Serviço de apoio e infraestrutura logística para eventos, capacitações, seminários, encontros e feiras (fornecimento de alimentação, locação de espaço físico, locação de maquinas, equipamentos e afins)"
1238489,12/2022,CREAS CARIRI FORTALEZA,1.4.1,Locação de imóvel.
1238489,12/2022,CREAS CARIRI FORTALEZA,1.5.1,"Material de expediente, tecnologia da informação e suprimento de informática"
1238489,12/2022,CREAS CARIRI FORTALEZA,1.5.2,Material didático e pedagogico
1238489,12/2022,CREAS CARIRI FORTALEZA,1.5.3,"Material de limpeza, conservação e higiene"
1238489,12/2022,CREAS CARIRI FORTALEZA,1.5.4,Material de copa e cozinha
1238489,12/2022,CREAS CARIRI FORTALEZA,1.5.5,Gás de Cozinha
1238489,12/2022,CREAS CARIRI FORTALEZA,1.5.6,Generos Alimenicios
1238489,12/2022,CREAS CARIRI FORTALEZA,1.6.1,"Salários e encargos sob a folha(horas extras,encargos sociais,rescisões, atestado médico, 13º salário,ferias,adicional noturno, vale-transporte e vale-refeição)"
1238489,12/2022,CREAS CARIRI FORTALEZA,1.6.2,"Material de expediente, tecnologia da informação e suprimento de informatica"
1238489,12/2022,CREAS CARIRI FORTALEZA,2.1.1,"Salários e encargos sob a folha(horas extras, encargos sociais, rescisões, atestado médico, 13º salário, ferias, adicionais noturno, vale-transporte e vale-refeição)"
1238489,12/2022,CREAS CARIRI FORTALEZA,2.2.1,Diária dentro do Estado
1238489,12/2022,CREAS CARIRI FORTALEZA,2.3.1,Locação de Veiculo
1238489,12/2022,CREAS CARIRI FORTALEZA,2.3.2,Passagens aereas e terrestres
1238489,12/2022,CREAS CARIRI FORTALEZA,2.3.3,"Serviço de comunicação em geral, gráficos e reprograficos e documentos afins, festividades e homenagens, publicidade e propaganda(confecção de blusas, bolsas e material de proteção e segurança individuais com suas devidas logomarcas e afins)"
1238489,12/2022,CREAS CARIRI FORTALEZA,2.3.4,"Remuneração de serviços de natureza eventual(Instrutores, palestrantes, substituições e outros serviços)"
1238489,12/2022,CREAS CARIRI FORTALEZA,2.3.5,Serviços de pequenos reparos de bens moveis e imóveis
1238489,12/2022,CREAS CARIRI FORTALEZA,2.3.6,"Serviço de apoio e infraestrutura logística para eventos, capacitações, seminários, encontros e feiras (fornecimento de alimentação, locação de espaço físico, locação de maquinas, equipamentos e afins)"
1238489,12/2022,CREAS CARIRI FORTALEZA,2.4.1,"Material de expediente, tecnologia da informação e suprimento de informática"
1238489,12/2022,CREAS CARIRI FORTALEZA,2.4.2,Material didático e pedagogico
1238489,12/2022,CREAS CARIRI FORTALEZA,2.4.3,"Material de limpeza, conservação e higiene"
1238489,12/2022,CREAS CARIRI FORTALEZA,2.4.4,Material de copa e cozinha
1238489,12/2022,CREAS CARIRI FORTALEZA,2.4.5,Gás de Cozinha
1238489,12/2022,CREAS CARIRI FORTALEZA,2.4.6,Gêneros alimentícios
1238489,12/2022,CREAS CARIRI FORTALEZA,2.5.1,"Salários e encargos sob a folha(horas extras, encargos sociais, rescisões, atestado médico, 13º salário, ferias, adicionais noturno, vale-transporte e vale-refeição)"
1238489,12/2022,CREAS CARIRI FORTALEZA,2.5.2,"Material de expediente, tecnologia da informação e suprimento de informática"
1238489,12/2022,CREAS CARIRI FORTALEZA,1.3.8,Confecção de uniformes
1238489,12/2022,CREAS CARIRI FORTALEZA,2.3.7,Confecção de uniformes
