INSTRUMENTO,Nº DO TERMO,TERMO DE COLABORAÇÃO,MÊS COMPETÊNCIA,ANO COMPETÊNCIA,ITEM,DESCRIÇÃO,VALOR,NF,EMPRESA,STATUS,DATA PGTO
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,FEVEREIRO,2026,1.3.13,GÊNEROS ALIMENTÍCIOS,"R$ 2.573,10",163.0,AVANTI,PAGA,23/02/2026
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,FEVEREIRO,2026,1.3.13,GÊNEROS ALIMENTÍCIOS,"R$ 179,70",37415.0,CCPF,PAGA,23/02/2026
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,FEVEREIRO,2026,1.3.13,GÊNEROS ALIMENTÍCIOS,"R$ 891,82",164.0,AVANTI,PAGA,23/02/2026
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,FEVEREIRO,2026,1.3.13,GÊNEROS ALIMENTÍCIOS,"R$ 1.862,84",165.0,AVANTI,PAGA,23/02/2026
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,FEVEREIRO,2026,1.3.13,GÊNEROS ALIMENTÍCIOS,"R$ 230,90",37413.0,CCPF,PAGA,23/02/2026
1202581,02/2022,CSMI BARBALHA,JANEIRO,2026,1.2.2,EPI’S COZINHA,"R$ 131,80",111.0,AVANTI,PAGA,23/01/2025
1202581,02/2022,CSMI BARBALHA,JANEIRO,2026,1.2.3,MATERIAL DE EXPEDIENTE,"R$ 1.104,07",6079.0,FORTAL,PAGA,30/01/2026
1202581,02/2022,CSMI BARBALHA,JANEIRO,2026,1.2.4,MATERIAL DE LIMPEZA,"R$ 1.893,95",548.0,R&R,PAGA,23/01/2026
1202581,02/2022,CSMI BARBALHA,JANEIRO,2026,1.2.7,MATERIAL PARA OFICINAS PEDAGÓGICAS,"R$ 2.450,49",6089.0,FORTAL,PAGA,27/01/2026
1202581,02/2022,CSMI BARBALHA,JANEIRO,2026,1.2.21,ALIMENTAÇÃO PARA EVENTOS,"R$ 1.097,20",108.0,AVANTI,PAGA,23/01/2026
1202581,02/2022,CSMI BARBALHA,JANEIRO,2026,1.2.26,FORNECIMENTO DE ÁGUA,"R$ 260,71",109.0,AVANTI,PAGA,23/01/2026
1202581,02/2022,CSMI BARBALHA,JANEIRO,2026,1.2.26,FORNECIMENTO DE ÁGUA,"R$ 170,81",123.0,AVANTI,PAGA,02/02/2026
1202581,02/2022,CSMI BARBALHA,JANEIRO,2026,1.2.28,GÊNEROS ALIMENTÍCIOS,"R$ 20.083,42",107.0,AVANTI,PAGA,23/01/2026
1202581,02/2022,CSMI BARBALHA,JANEIRO,2026,1.2.28,GÊNEROS ALIMENTÍCIOS,"R$ 5.349,62",37055.0,CCPF,PAGA,23/01/2026
1202581,02/2022,CSMI BARBALHA,FEVEREIRO,2026,1.2.4,MATERIAL DE LIMPEZA,"R$ 2.179,81",574.0,R&R,PAGA,12/02/2026
1202581,02/2022,CSMI BARBALHA,FEVEREIRO,2026,1.2.5,MATERIAL DE T.I. E SUPRIMENTO DE INFORMÁTICA,"R$ 1.458,30",6186.0,FORTAL,PAGA,12/02/2026
1202581,02/2022,CSMI BARBALHA,FEVEREIRO,2026,1.2.15,MATERIAL PARA HORTO,"R$ 216,00",567.0,R&R,FATURADA,
1202581,02/2022,CSMI BARBALHA,FEVEREIRO,2026,1.2.20,OFICINA VÔLEI E HANDEBOL,"R$ 2.874,00",7686.0,ÍCONE,PAGA,12/02/2026
1202581,02/2022,CSMI BARBALHA,FEVEREIRO,2026,1.2.22,PRIMEIROS SOCORROS,"R$ 390,50",154.0,AVANTI,FATURADA,
1202581,02/2022,CSMI BARBALHA,FEVEREIRO,2026,1.2.23,UNIFORME EM GERAL,"R$ 12.528,00",568.0,R&R,PAGA,12/02/2026
1202581,02/2022,CSMI BARBALHA,FEVEREIRO,2026,1.2.28,GÊNEROS ALIMENTÍCIOS,"R$ 13.066,06",153.0,AVANTI,PAGA,12/02/2026
1202581,02/2022,CSMI BARBALHA,FEVEREIRO,2026,1.2.28,GÊNEROS ALIMENTÍCIOS,"R$ 5.220,88",37336.0,CCPF,PAGA,12/02/2026
1202581,02/2022,CSMI BARBALHA,FEVEREIRO,2026,1.2.31,MATERIAL PARA COPA E COZINHA,"R$ 1.381,32",582.0,R&R,PAGA,12/02/2026
1190123,06/2021,CSMI CRISTO REDENTOR,JANEIRO,2026,1.2.2,EPI’S COZINHA,"R$ 416,30",103.0,AVANTI,PAGA,23/01/2026
1190123,06/2021,CSMI CRISTO REDENTOR,JANEIRO,2026,1.2.3,MATERIAL DE EXPEDIENTE,"R$ 1.569,25",6074.0,FORTAL,PAGA,27/01/2026
